07558;2010-01-05T10:00:00+01:00;260;1.5;100;91870.0;44.1185,3.0195;2.6000000000000227;712
61976;2010-01-05T10:00:00+01:00;;;69;;-15.887667,54.520667;32.30000000000001;7
07027;2010-01-05T13:00:00+01:00;200;3.6;87;99880.0;49.18,-0.456167;0.5;67
07110;2010-01-05T13:00:00+01:00;210;4.1;73;99580.0;48.444167,-4.412;3.8000000000000114;94
07591;2010-01-05T13:00:00+01:00;;;67;89870.0;44.565667,6.502333;1.3000000000000114;871
71805;2010-01-05T13:00:00+01:00;210;9.8;99;98920.0;46.766333,-56.179167;1.900000000000034;21
78925;2010-01-05T13:00:00+01:00;30;0.5;83;;14.595333,-60.995667;25.900000000000034;3
07015;2010-01-05T16:00:00+01:00;190;1.5;78;99900.0;50.57,3.0975;1.7000000000000455;47
07149;2010-01-05T16:00:00+01:00;10;2.6;69;99410.0;48.716833,2.384333;-0.5;89
81408;2010-01-05T16:00:00+01:00;80;4.1;69;101140.0;3.890667,-51.804667;30.100000000000023;6
89642;2010-01-05T16:00:00+01:00;120;4.1;67;99480.0;-66.663167,140.001;-1.8999999999999773;43
07020;2010-01-05T19:00:00+01:00;200;11.8;85;99950.0;49.725167,-1.939833;4.100000000000023;6
07761;2010-01-05T19:00:00+01:00;60;1.5;94;99380.0;41.918,8.792667;11.900000000000034;5
81405;2010-01-05T19:00:00+01:00;100;6.2;73;100950.0;4.822333,-52.365333;29.30000000000001;4
07168;2010-01-05T22:00:00+01:00;320;2.1;85;98940.0;48.324667,4.02;-7.399999999999977;112
07607;2010-01-05T22:00:00+01:00;0;0.0;92;99900.0;43.909833,-0.500167;-0.6999999999999886;59
07650;2010-01-05T22:00:00+01:00;350;2.1;91;99620.0;43.437667,5.216;3.5;9
71805;2010-01-05T22:00:00+01:00;230;7.2;100;99140.0;46.766333,-56.179167;2.0;21
07149;2010-01-06T01:00:00+01:00;230;1.0;94;99220.0;48.716833,2.384333;-4.399999999999977;89
61972;2010-01-06T01:00:00+01:00;150;5.1;;;-22.344167,40.340667;26.600000000000023;6
07280;2010-01-06T04:00:00+01:00;180;2.1;91;97500.0;47.267833,5.088333;-2.6999999999999886;219
07434;2010-01-06T04:00:00+01:00;220;3.6;96;95560.0;45.861167,1.175;-6.199999999999989;402
61976;2010-01-06T04:00:00+01:00;;;77;;-15.887667,54.520667;29.0;7
07020;2010-01-06T07:00:00+01:00;10;6.7;95;99560.0;49.725167,-1.939833;1.5;6
07117;2010-01-06T07:00:00+01:00;310;6.2;67;99090.0;48.825833,-3.473167;3.900000000000034;55
07168;2010-01-06T07:00:00+01:00;0;0.0;89;98900.0;48.324667,4.02;-10.599999999999966;112
07690;2010-01-06T07:00:00+01:00;330;4.6;74;99400.0;43.648833,7.209;3.5;2
61970;2010-01-06T07:00:00+01:00;170;2.1;68;;-17.054667,42.712;31.0;9
71805;2010-01-06T07:00:00+01:00;210;7.2;100;99320.0;46.766333,-56.179167;1.8000000000000114;21
07168;2010-01-06T10:00:00+01:00;160;1.0;86;98950.0;48.324667,4.02;-7.0;112
07181;2010-01-06T10:00:00+01:00;260;1.0;90;96180.0;48.581,5.959833;-6.599999999999966;336
07222;2010-01-07T13:00:00+01:00;10;3.1;82;100830.0;47.15,-1.608833;1.400000000000034;26
07335;2010-01-07T13:00:00+01:00;340;3.6;83;99500.0;46.593833,0.314333;-1.5;123
07222;2010-01-07T16:00:00+01:00;20;5.1;63;100860.0;47.15,-1.608833;2.3000000000000114;26
07650;2010-01-07T16:00:00+01:00;40;3.1;50;100070.0;43.437667,5.216;6.600000000000023;9
61972;2010-01-07T19:00:00+01:00;160;8.2;;;-22.344167,40.340667;27.200000000000045;6
07015;2010-01-07T22:00:00+01:00;80;1.0;88;100820.0;50.57,3.0975;-7.099999999999966;47
07280;2010-01-07T22:00:00+01:00;360;2.6;97;98350.0;47.267833,5.088333;-1.8999999999999773;219
81405;2010-01-07T22:00:00+01:00;70;2.1;76;101050.0;4.822333,-52.365333;27.100000000000023;4
07020;2010-01-08T01:00:00+01:00;20;10.3;77;101550.0;49.725167,-1.939833;3.3000000000000114;6
07207;2010-01-08T01:00:00+01:00;30;2.6;81;101120.0;47.294333,-3.218333;-0.0999999999999659;34
07621;2010-01-08T01:00:00+01:00;30;2.6;95;96390.0;43.188,0.0;-0.8999999999999773;360
07747;2010-01-08T01:00:00+01:00;310;5.7;87;99750.0;42.737167,2.872833;3.0;42
07434;2010-01-08T04:00:00+01:00;40;5.1;91;96070.0;45.861167,1.175;-3.8999999999999773;402
61998;2010-01-08T04:00:00+01:00;240;2.1;78;;-49.352333,70.243333;6.100000000000023;29
07314;2010-01-08T07:00:00+01:00;10;8.7;87;101090.0;46.046833,-1.4115;0.30000000000001137;11
07015;2010-01-08T13:00:00+01:00;60;7.2;83;101380.0;50.57,3.0975;-3.2999999999999545;47
07110;2010-01-06T13:00:00+01:00;350;7.7;83;98820.0;48.444167,-4.412;1.900000000000034;94
07168;2010-01-06T16:00:00+01:00;150;2.1;84;98980.0;48.324667,4.02;-4.0;112
07222;2010-01-06T16:00:00+01:00;210;4.1;84;99680.0;47.15,-1.608833;2.8000000000000114;26
07630;2010-01-06T16:00:00+01:00;300;4.1;70;98580.0;43.621,1.378833;5.7000000000000455;151
07015;2010-01-06T19:00:00+01:00;160;1.5;77;99890.0;50.57,3.0975;-3.1999999999999886;47
07481;2010-01-06T19:00:00+01:00;160;1.5;76;97600.0;45.7265,5.077833;-1.0;235
